year,fi_min,fi_max,cv_min,cv_max,eps_star,lam_star_band_low,lam_star_band_high,lam_star,rc_max,rc_at,rc_two_step,proxy_measured,rc_series,path
2020.0,0.243,0.376,1.217,1.237,0.2,,,,1.0,0.4,no,measured (`dt_applied`),0.40:1.000; 0.50:1.000; 0.60:1.000; 0.65:1.000; 0.66:1.000; 0.67:1.000; 0.68:1.000; 0.69:1.000; 0.70:1.000,reports/W2_scans/2020/W2_perceptual_report_2020.md
2021.0,0.288,0.41,1.313,1.316,0.2,0.66,0.67,0.665,2.017,0.7,yes,proxy (`dt_target`),0.40:1.891; 0.50:1.934; 0.60:1.976; 0.65:1.996; 0.66:2.001; 0.67:2.005; 0.68:2.009; 0.69:2.013; 0.70:2.017,reports/W2_scans/2021/W2_perceptual_report_2021.md
2022.0,0.262,0.391,1.239,1.247,0.2,,,,1.0,0.4,no,proxy (`dt_target`),0.40:1.000; 0.50:1.000; 0.60:1.000; 0.65:1.000; 0.66:1.000; 0.67:1.000; 0.68:1.000; 0.69:1.000; 0.70:1.000,reports/W2_scans/2022/W2_perceptual_report_2022.md
2023.0,0.258,0.399,1.243,1.251,0.2,,,,1.0,0.4,no,proxy (`dt_target`),0.40:1.000; 0.50:1.000; 0.60:1.000; 0.65:1.000; 0.66:1.000; 0.67:1.000; 0.68:1.000; 0.69:1.000; 0.70:1.000,reports/W2_scans/2023/W2_perceptual_report_2023.md
2024.0,0.241,0.367,1.287,1.308,0.2,,,,1.0,0.4,no,proxy (`dt_target`),0.40:1.000; 0.50:1.000; 0.60:1.000; 0.65:1.000; 0.66:1.000; 0.67:1.000; 0.68:1.000; 0.69:1.000; 0.70:1.000,reports/W2_scans/2024/W2_perceptual_report_2024.md
