run_id,id,d_hat,rho,gamma,epsilon,lambda,t_min,t_max,dt_target,dt_applied_w2,order_idx,ts_start_iso,ts_end_iso,dt_applied,renderer,notes
2021_g1.0_e0.1_l0.5,ncaf_2021_0021,0.3797104656696319,0.1517538726329803,1.0,0.1,0.5,0.2,1.2,0.6258838391601421,,20,2025-10-28T00:30:45.292380+00:00,2025-10-28T00:30:45.921710+00:00,0.629311,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0022,0.3495586514472961,0.1401435583829879,1.0,0.1,0.5,0.2,1.2,0.5915111565159171,,21,2025-10-28T00:30:45.923231+00:00,2025-10-28T00:30:46.515996+00:00,0.592755,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0023,0.3121041655540466,0.1469663828611374,1.0,0.1,0.5,0.2,1.2,0.5541013832876366,,22,2025-10-28T00:30:46.516945+00:00,2025-10-28T00:30:47.075751+00:00,0.558792,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0024,0.2013415247201919,0.0893894284963607,1.0,0.1,0.5,0.2,1.2,0.4312755918418905,,23,2025-10-28T00:30:47.077015+00:00,2025-10-28T00:30:47.511618+00:00,0.434592,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0025,0.4974347651004791,0.211247444152832,1.0,0.1,0.5,0.2,1.2,0.7396332368192299,,24,2025-10-28T00:30:47.512999+00:00,2025-10-28T00:30:48.256988+00:00,0.743976,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0026,0.60267573595047,0.3406803011894226,1.0,0.1,0.5,0.2,1.2,0.9237559603288614,,25,2025-10-28T00:30:48.260406+00:00,2025-10-28T00:30:49.186188+00:00,0.925764,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0027,0.4902652204036712,0.219118982553482,1.0,0.1,0.5,0.2,1.2,0.7768794390597621,,26,2025-10-28T00:30:49.188002+00:00,2025-10-28T00:30:49.969431+00:00,0.781415,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0028,0.2287611216306686,0.1126759201288223,1.0,0.1,0.5,0.2,1.2,0.4815865196564809,,27,2025-10-28T00:30:49.970992+00:00,2025-10-28T00:30:50.457658+00:00,0.486654,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0029,0.4794496297836303,0.2875458300113678,1.0,0.1,0.5,0.2,1.2,0.7515673037686207,,28,2025-10-28T00:30:50.459330+00:00,2025-10-28T00:30:51.214166+00:00,0.754823,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0030,0.1584911048412323,0.0738434568047523,1.0,0.1,0.5,0.2,1.2,0.402690088267725,,29,2025-10-28T00:30:51.215640+00:00,2025-10-28T00:30:51.623239+00:00,0.407587,opencv,w3 baseline run
