run_id,id,d_hat,rho,gamma,epsilon,lambda,t_min,t_max,dt_target,dt_applied,order_idx
2021_g1.0_e0.1_l0.5,ncaf_2021_0035,0.08994496613740921,0.0668584555387497,1.0,0.1,0.5,0.2,1.2,0.34779601880853367,,34
2021_g1.0_e0.1_l0.5,ncaf_2021_0036,0.22429345548152924,0.09528492391109467,1.0,0.1,0.5,0.2,1.2,0.4353149982306436,,35
2021_g1.0_e0.1_l0.5,ncaf_2021_0037,0.435077041387558,0.12252998352050781,1.0,0.1,0.5,0.2,1.2,0.65068406935002,,36
2021_g1.0_e0.1_l0.5,ncaf_2021_0038,0.4921213686466217,0.2376144826412201,1.0,0.1,0.5,0.2,1.2,0.7655118034703746,,37
2021_g1.0_e0.1_l0.5,ncaf_2021_0039,0.14083175361156464,0.08741989731788635,1.0,0.1,0.5,0.2,1.2,0.39156940609107177,,38
2021_g1.0_e0.1_l0.5,ncaf_2021_0040,0.09752590954303741,0.09019874036312103,1.0,0.1,0.5,0.2,1.2,0.3190587942440138,,39
2021_g1.0_e0.1_l0.5,ncaf_2021_0041,0.8522021770477295,0.5137770771980286,1.0,0.1,0.5,0.2,1.2,1.2286223701636279,,40
2021_g1.0_e0.1_l0.5,ncaf_2021_0042,0.25477904081344604,0.11253420263528824,1.0,0.1,0.5,0.2,1.2,0.5355825961339347,,41
2021_g1.0_e0.1_l0.5,ncaf_2021_0043,0.3069422245025635,0.1434335559606552,1.0,0.1,0.5,0.2,1.2,0.5433102776434571,,42
2021_g1.0_e0.1_l0.5,ncaf_2021_0044,0.4355660676956177,0.1782289296388626,1.0,0.1,0.5,0.2,1.2,0.6781967870187742,,43
2021_g1.0_e0.1_l0.5,ncaf_2021_0045,0.13381141424179077,0.09726860374212265,1.0,0.1,0.5,0.2,1.2,0.38034044898843755,,44
2021_g1.0_e0.1_l0.5,ncaf_2021_0046,0.602737545967102,0.3108220100402832,1.0,0.1,0.5,0.2,1.2,0.8766494592207041,,45
2021_g1.0_e0.1_l0.5,ncaf_2021_0047,0.7485437393188477,0.41751164197921753,1.0,0.1,0.5,0.2,1.2,1.1236143874982425,,46
2021_g1.0_e0.1_l0.5,ncaf_2021_0048,0.28141215443611145,0.11023418605327606,1.0,0.1,0.5,0.2,1.2,0.555231328514061,,47
2021_g1.0_e0.1_l0.5,ncaf_2021_0049,0.2733498215675354,0.11973132193088531,1.0,0.1,0.5,0.2,1.2,0.5072915147723871,,48
2021_g1.0_e0.1_l0.5,ncaf_2021_0050,0.18506789207458496,0.09469856321811676,1.0,0.1,0.5,0.2,1.2,0.4131005926702099,,49
2021_g1.0_e0.1_l0.5,ncaf_2021_0051,0.07561340183019638,0.07316195219755173,1.0,0.1,0.5,0.2,1.2,0.2980113787143626,,50
2021_g1.0_e0.1_l0.5,ncaf_2021_0052,0.6215406060218811,0.26921284198760986,1.0,0.1,0.5,0.2,1.2,0.8715320379938193,,51
2021_g1.0_e0.1_l0.5,ncaf_2021_0053,0.3149743974208832,0.16128553450107574,1.0,0.1,0.5,0.2,1.2,0.5838610833881429,,52
2021_g1.0_e0.1_l0.5,ncaf_2021_0054,0.7958882451057434,0.4228169918060303,1.0,0.1,0.5,0.2,1.2,1.1512359901668716,,53
2021_g1.0_e0.1_l0.5,ncaf_2021_0055,0.23641078174114227,0.1025611013174057,1.0,0.1,0.5,0.2,1.2,0.5128173346419428,,54
2021_g1.0_e0.1_l0.5,ncaf_2021_0056,0.3647075891494751,0.20966565608978271,1.0,0.1,0.5,0.2,1.2,0.6154107616819527,,55
2021_g1.0_e0.1_l0.5,ncaf_2021_0057,0.719809889793396,0.3515552878379822,1.0,0.1,0.5,0.2,1.2,1.0388355381913177,,56
2021_g1.0_e0.1_l0.5,ncaf_2021_0058,0.5848690867424011,0.36244282126426697,1.0,0.1,0.5,0.2,1.2,0.9387582800943257,,57
2021_g1.0_e0.1_l0.5,ncaf_2021_0059,0.4491303861141205,0.15959744155406952,1.0,0.1,0.5,0.2,1.2,0.7166525539323764,,58
2021_g1.0_e0.1_l0.5,ncaf_2021_0060,0.17650344967842102,0.08522480726242065,1.0,0.1,0.5,0.2,1.2,0.4224896834503544,,59
2021_g1.0_e0.1_l0.5,ncaf_2021_0061,0.5438237190246582,0.3036386966705322,1.0,0.1,0.5,0.2,1.2,0.8177497722858333,,60
2021_g1.0_e0.1_l0.5,ncaf_2021_0062,0.28470903635025024,0.13726972043514252,1.0,0.1,0.5,0.2,1.2,0.542048457619744,,61
